Filename,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Count Per Word,Personal Pronouns Count,Average Word Length
blackassign0001.txt,11,-2,1.4444442839506353,0.025714285640816327,12.068965517241379,0.8314285714285714,5.16015763546798,12.068965517241379,291,350,764,0,17.814285714285713
blackassign0002.txt,59,-32,3.3703702455418427,0.028877005316709087,11.54320987654321,0.8556149732620321,4.959529939922097,11.54320987654321,800,935,2228,0,25.33048128342246
blackassign0003.txt,45,-24,3.285714129251708,0.024305555527424125,14.4,0.8784722222222222,6.111388888888889,14.4,759,864,2230,0,15.63425925925926
blackassign0004.txt,46,-75,-4.172413936979791,-0.03427895977035584,15.381818181818181,0.8747044917257684,6.50260906941758,15.381818181818181,740,846,2099,0,18.00709219858156
blackassign0005.txt,27,-9,1.999999888888895,0.032142857085459185,13.023255813953488,0.8678571428571429,5.556445182724253,13.023255813953488,486,560,1300,0,19.71607142857143
blackassign0006.txt,95,-28,1.8358208681220767,0.04944649442845277,14.414893617021276,0.8590405904059041,6.109573682970872,14.414893617021276,1164,1355,3299,0,23.750553505535056
blackassign0007.txt,31,-40,-7.888889765432196,-0.012640449420448807,11.483870967741936,0.8384831460674157,4.928941645523741,11.483870967741936,597,712,1604,0,29.367977528089888
blackassign0008.txt,37,-10,1.7407406762688638,0.03755215571967711,14.098039215686274,0.8331015299026425,5.972456298235567,14.098039215686274,599,719,1830,0,12.82336578581363
blackassign0009.txt,46,-51,-19.400003880000778,-0.006082725053427342,13.475409836065573,0.8771289537712895,5.741015515934746,13.475409836065573,721,822,2097,0,23.427007299270073
blackassign0010.txt,66,-69,-45.000015000005,-0.003048780484706524,11.714285714285714,0.8434959349593496,5.023112659698025,11.714285714285714,830,984,2392,0,13.160569105691057
blackassign0011.txt,64,-20,1.9090908657024805,0.043349753651872165,14.295774647887324,0.8827586206896552,6.071413307430792,14.295774647887324,896,1015,2546,0,16.22758620689655
